timestamp,fps,frame_ms,mem_mb
1785600000000,60.1,16.7,512.0
1785600001000,59.8,16.8,511.5
1785600002000,60.0,16.6,511.2
1785600003000,59.9,16.7,511.8
1785600004000,60.2,16.5,512.3
1785600005000,60.1,16.6,512.9
1785600006000,59.7,16.8,513.4
1785600007000,59.8,16.7,513.1
1785600008000,60.0,16.6,512.7
1785600009000,60.3,16.5,512.2
1785600010000,60.1,16.7,511.9
1785600011000,59.9,16.8,511.6
1785600012000,60.0,16.6,512.0
1785600013000,60.2,16.5,512.5
1785600014000,60.1,16.7,513.0
1785600015000,59.8,16.8,513.3
1785600016000,59.9,16.6,512.8
1785600017000,60.0,16.7,512.4
1785600018000,60.1,16.6,512.1
1785600019000,60.2,16.5,512.6
1785600020000,60.0,16.7,513.2
1785600021000,59.9,16.8,513.5
1785600022000,60.1,16.6,512.9
1785600023000,60.2,16.5,512.3
1785600024000,60.0,16.7,511.7
1785600025000,59.8,16.8,511.4
1785600026000,59.9,16.6,512.0
1785600027000,60.1,16.7,512.6
1785600028000,60.2,16.5,513.1
1785600029000,60.0,16.6,513.4
1785600030000,59.9,16.8,512.8
1785600031000,60.1,16.7,512.2
1785600032000,60.0,16.6,511.8
1785600033000,59.8,16.5,512.3
1785600034000,59.9,16.7,512.9
1785600035000,60.2,16.8,513.3
1785600036000,60.1,16.6,512.7
1785600037000,60.0,16.5,512.1
1785600038000,59.9,16.7,511.6
1785600039000,60.1,16.8,512.2
1785600040000,60.2,16.6,512.8
1785600041000,60.0,16.7,513.2
1785600042000,59.8,16.5,512.6
1785600043000,59.9,16.6,512.0
1785600044000,60.1,16.8,511.5
1785600045000,60.0,16.7,512.1
1785600046000,60.2,16.6,512.7
1785600047000,60.1,16.5,513.0
1785600048000,59.9,16.7,512.4
1785600049000,60.0,16.8,511.9
1785600050000,60.1,16.6,512.4
1785600051000,60.2,16.7,513.0
1785600052000,60.0,16.5,513.3
1785600053000,59.8,16.6,512.7
1785600054000,59.9,16.8,512.1
1785600055000,60.1,16.7,511.7
1785600056000,60.2,16.6,512.3
1785600057000,60.0,16.5,512.9
1785600058000,59.9,16.7,513.2
1785600059000,60.1,16.8,512.6
1785600060000,60.0,16.6,512.0
1785600061000,59.8,16.7,511.4
1785600062000,59.9,16.5,512.0
1785600063000,60.1,16.6,512.6
1785600064000,60.2,16.8,513.1
1785600065000,60.0,16.7,513.4
1785600066000,59.9,16.6,512.8
1785600067000,60.1,16.5,512.2
1785600068000,60.0,16.7,511.8
1785600069000,59.8,16.8,512.4
1785600070000,59.9,16.6,513.0
1785600071000,60.2,16.7,513.3
1785600072000,60.1,16.5,512.7
1785600073000,60.0,16.6,512.1
1785600074000,59.9,16.8,511.6
1785600075000,60.1,16.7,512.2
1785600076000,60.2,16.6,512.8
1785600077000,60.0,16.5,513.2
1785600078000,59.8,16.7,512.5
1785600079000,59.9,16.8,512.0
1785600080000,60.1,16.6,511.5
1785600081000,60.0,16.7,512.1
1785600082000,60.2,16.5,512.7
1785600083000,60.1,16.6,513.1
1785600084000,59.9,16.8,512.4
1785600085000,60.0,16.7,511.9
1785600086000,60.1,16.6,512.5
1785600087000,60.2,16.5,513.0
1785600088000,60.0,16.7,513.3
1785600089000,59.8,16.8,512.6
1785600090000,59.9,16.6,512.0
1785600091000,60.1,16.7,511.4
1785600092000,60.0,16.5,512.0
1785600093000,60.2,16.6,512.6
1785600094000,60.1,16.8,513.1
1785600095000,59.9,16.7,512.5
1785600096000,60.0,16.6,511.9
1785600097000,60.1,16.5,512.4
1785600098000,60.2,16.7,513.0
1785600099000,60.0,16.8,513.2
1785600100000,59.8,16.6,512.6
1785600101000,59.9,16.7,512.1
1785600102000,60.1,16.5,511.6
1785600103000,60.2,16.6,512.2
1785600104000,60.0,16.8,512.8
1785600105000,60.1,16.7,513.3
1785600106000,59.9,16.6,512.7
1785600107000,60.0,16.5,512.1
1785600108000,59.8,16.7,511.7
1785600109000,59.9,16.8,512.3
1785600110000,60.2,16.6,512.9
1785600111000,60.1,16.7,513.1
1785600112000,60.0,16.5,512.4
1785600113000,59.9,16.6,511.8
1785600114000,60.1,16.8,512.2
1785600115000,60.2,16.7,512.7
1785600116000,60.0,16.6,513.2
1785600117000,59.8,16.5,512.5
1785600118000,59.9,16.7,512.0
1785600119000,60.1,16.8,511.5
1785600120000,60.0,16.6,512.1
1785600121000,60.2,16.7,512.7
1785600122000,60.1,16.5,513.0
1785600123000,59.9,16.6,512.3
1785600124000,60.0,16.8,511.9
1785600125000,60.1,16.7,512.5
1785600126000,60.2,16.6,513.1
1785600127000,60.0,16.5,513.4
1785600128000,59.8,16.7,512.7
1785600129000,59.9,16.8,512.1
1785600130000,60.1,16.6,511.7
1785600131000,60.0,16.7,512.3
1785600132000,60.2,16.5,512.9
1785600133000,60.1,16.6,513.2
1785600134000,59.9,16.8,512.6
1785600135000,60.0,16.7,512.0
1785600136000,60.1,16.6,511.4
1785600137000,60.2,16.5,512.0
